-74.9762	138.087	2682
-74.9169	321.45	-416
-74.9067	134.882	2682
-74.8944	293.348	1676
-74.7777	247.265	152
-74.57	31.7222	3170
-74.5249	276.7	1067
-74.5177	71.474	2042
-74.5094	294.659	1372
-74.5052	185.901	-2308
-74.4997	125.219	2987
-74.4769	314.876	-493
-74.4758	215.554	-3533
-74.4412	17.3246	3475
-74.4089	55.5069	2438
-74.3824	83.6461	3292
-74.3714	202.816	-3800
-74.3394	111.013	3109
-74.2917	336.665	-399
-74.2511	294.526	1524
-74.1728	275.623	1067
-74.1378	59.8807	1981
-74.1286	308.857	-549
-74.0471	69.0551	1676
-74.0387	324.843	-2005
-73.9672	145.355	2408
-73.9309	303.983	-478
-73.9266	17.8569	3444
-73.9078	282.813	305
-73.7979	122.091	2987
-73.7894	324.996	-2656
-73.6813	353.742	2042
-73.6343	347.533	1158
-73.5955	28.7667	2895
-73.5612	152.803	2225
-73.3152	23.0389	3231
-73.2976	138.839	2743
-73.217	80.7946	2926
-73.1572	136.307	2804
-73.1432	243.855	-800
-73.1379	341.633	-786
-73.1074	85.7422	3200
-73.0344	286.181	-10
-72.9841	196.583	-4126
-72.9636	133.786	2835
-72.9584	198.357	-4152
-72.9522	343.604	-10
-72.9512	117.024	2987
-72.9298	140.402	2499
-72.7845	344.624	-60
-72.7792	260.125	0
-72.7665	73.5307	1676
-72.7496	106.99	2865
-72.7198	311.358	-10
-72.6962	181.157	-600
-72.6881	278.922	-259
-72.6396	339.536	-2896
-72.6093	84.2845	3139
-72.5458	230.166	-2972
-72.5073	214.392	-4182
-72.4421	153.749	2225
-72.4412	122.695	3017
-72.4052	135.012	2804
-72.3827	21.1274	2225
-72.3708	67.5494	122
-72.3247	225.714	-3734
-72.2328	28.3191	2743
-72.1771	121.323	2956
-72.1688	123.324	3017
-72.1417	116.271	2895
-72.1351	118.101	2926
-72.116	54.1889	2682
-72.059	21.0578	1676
-72.0376	355.24	1372
-72.0234	145.175	2286
-71.9745	116.918	2895
-71.8921	324.338	-3877
-71.8721	344.321	-882
-71.8518	144.258	2286
-71.8397	203.206	-4231
-71.7421	79.0931	2743
-71.7255	340.869	-4251
-71.7205	330.311	-4007
-71.6695	168.739	1829
-71.6545	273.753	-631
-71.6488	102.093	2895
-71.6318	13.8427	1372
-71.5353	20.7529	731
-71.5053	211.648	-4129
-71.4144	97.1099	3139
-71.4134	333.042	-4140
-71.4023	155.152	1920
-71.3977	3.05352	1311
-71.3824	182.563	-1154
-71.352	175.443	-2308
-71.3416	126.502	2956
-71.3386	71.6216	610
-71.3342	18.9908	1036
-71.2967	335.331	-4168
-71.2722	240.92	-2416
-71.1991	302.404	-547
-71.0471	330.846	-4331
-71.0268	159.377	1676
-70.9899	147.366	1890
-70.9452	171.01	-2476
-70.9348	230.06	-3782
-70.9057	319.589	-4038
-70.8901	116.945	2621
-70.8897	16.5114	853
-70.8864	118.29	2591
-70.886	148.305	1890
-70.8614	105.937	2682
-70.8102	129.744	2652
-70.7764	232.895	-3596
-70.7653	223.836	-4571
-70.7267	350.408	-232
-70.7136	118.519	2591
-70.7024	23.0374	518
-70.6963	157.138	1585
-70.6704	174.967	-2596
-70.6465	55.0671	2804
-70.6116	90.0724	2682
-70.5738	338.856	-4529
-70.543	356.129	-135
-70.5385	82.6415	2469
-70.5307	229.216	-4033
-70.5269	90.9937	2682
-70.5265	355.805	-149
-70.4977	103.445	2621
-70.494	164.754	-142
-70.4902	137.866	2591
-70.4805	121.34	2652
-70.3588	310.414	-3202
-70.3035	202.501	-4378
-70.3025	76.8465	1402
-70.3002	355.997	-477
-70.289	226.927	-4212
-70.2029	53.1275	2713
-70.1782	264.696	-2064
-70.1696	112.569	2469
-70.1534	56.1686	2774
-70.144	73.2772	457
-70.0257	234.269	-3398
-70.0108	79.2316	1829
-70.0069	42.4035	1920
-69.992	108.51	2347
-69.9397	144.938	1707
-69.9393	140.829	2316
-69.9184	329.648	-4525
-69.8888	351.531	-2393
-69.7713	64.1575	1920
-69.7556	54.4429	2652
-69.7501	139.734	2469
-69.7234	280.64	-544
-69.5957	67.9495	640
-69.5704	11.1673	-549
-69.5606	147.276	1402
-69.5067	325.995	-4394
-69.5035	96.4103	2499
-69.4693	212.917	-4510
-69.4567	340.86	-4703
-69.4381	242.218	-3471
-69.3646	166.947	-2214
-69.3449	150.28	1219
-69.3366	218.184	-4398
-69.3347	20.0994	-3152
-69.3004	206.456	-4400
-69.2729	63.0711	1920
-69.2221	238.786	-3068
-69.2038	94.0136	2438
-69.0811	125.784	2042
-69.0751	93.0397	2347
-69.0588	122.61	1859
-69.0068	282.863	-491
-68.937	55.2598	1951
-68.9211	187.784	-3994
-68.8941	309.526	-2997
-68.8762	213.65	-4436
-68.8626	213.898	-4432
-68.8521	160.125	-1714
-68.8329	249.847	-4062
-68.8267	339.38	-4805
-68.806	289.908	-453
-68.7774	263.823	-4433
-68.7712	164.06	-2541
-68.7421	297.866	-23
