parent_station,20260201,20260202,20260203,20260204,20260205,20260206,20260207,20260208,20260209,20260210,20260211,20260212,20260213,20260214,20260215,20260216,20260217,20260218,20260219,20260220,20260221,20260222,20260223,20260224,20260225,20260226,20260227,20260228
place-woodl,76.61751152073732,75.53225806451613,72.46913580246914,75.24489795918367,68.0,72.65573770491804,83.672,75.38095238095238,73.37179487179488,84.23711340206185,69.74117647058823,68.40277777777777,70.32592592592593,69.26717557251908,74.08108108108108,80.4574898785425,71.825,65.54444444444445,68.56976744186046,70.02298850574712,69.4342105263158,73.52941176470588,82.44680851063829,68.84782608695652,70.55421686746988,73.49450549450549,76.67105263157895,70.27941176470588
place-sougr,84.11818181818182,78.84555984555985,86.44628099173553,102.97260273972603,107.89655172413794,79.41970802919708,80.43062200956938,92.5925925925926,104.39393939393939,108.01234567901234,91.78481012658227,98.64601769911505,82.29347826086956,76.22413793103448,75.90789473684211,77.89811320754717,85.43243243243244,79.17164179104478,81.11504424778761,81.84070796460178,75.20547945205479,83.66315789473684,116.29411764705883,111.63513513513513,94.64473684210526,93.81159420289855,88.01538461538462,84.03076923076924
place-engav,43.89302325581395,41.96212121212121,40.91525423728814,51.62068965517241,40.53125,84.67489711934157,44.445378151260506,38.285714285714285,77.52941176470588,39.717948717948715,48.675,50.71739130434783,44.40952380952381,44.08695652173913,47.78,70.61654135338345,41.82692307692308,41.52777777777778,38.68181818181818,37.95744680851064,44.24528301886792,40.78947368421053,44.523809523809526,40.90163934426229,42.28888888888889,42.98148148148148,43.8125,37.05263157894737
place-kntst,19.507246376811594,20.22093023255814,19.62162162162162,18.75,18.5,20.373873873873872,19.47945205479452,19.153846153846153,21.0,21.4,22.923076923076923,18.833333333333332,18.9,19.4,17.357142857142858,20.38053097345133,24.68421052631579,23.071428571428573,20.1,20.294117647058822,20.083333333333332,24.181818181818183,25.8,21.304347826086957,18.25,22.821428571428573,25.0,22.666666666666668
place-denrd,26.56930693069307,24.43265306122449,24.317073170731707,22.083333333333332,23.46153846153846,25.0,25.514018691588785,23.791666666666668,24.823529411764707,28.76923076923077,45.53333333333333,24.428571428571427,23.684931506849313,24.52173913043478,23.40909090909091,32.35,28.0625,25.3,25.714285714285715,23.666666666666668,32.48148148148148,25.0625,29.75,29.12,20.9,28.82758620689655,27.727272727272727,37.27272727272727
place-cool,59.71980676328502,59.89411764705882,62.146341463414636,50.416666666666664,56.714285714285715,59.5972850678733,61.372727272727275,51.57142857142857,56.23529411764706,66.9090909090909,62.142857142857146,60.05882352941177,61.08695652173913,60.25,70.0,58.70796460176991,58.88235294117647,61.57142857142857,68.0,44.92857142857143,56.208333333333336,58.4,69.6,51.27272727272727,54.666666666666664,68.42307692307692,63.666666666666664,51.8
place-clmnl,62.13592233009709,54.333333333333336,47.76470588235294,37.666666666666664,36.25,47.223214285714285,44.596330275229356,76.625,46.0,45.2,66.125,43.0,47.457142857142856,40.8235294117647,36.45454545454545,81.16239316239316,43.666666666666664,44.4,66.0,74.88888888888889,76.33333333333333,48.0,70.14285714285714,55.5,37.57142857142857,89.77272727272727,38.5,99.0
place-hwsst,49.75,43.13793103448276,49.8421052631579,38.27272727272727,56.09090909090909,45.509009009009006,49.04090909090909,55.53846153846154,59.75,52.81818181818182,69.3076923076923,45.23529411764706,44.628571428571426,49.69230769230769,50.5,48.42035398230089,43.21052631578947,62.92857142857143,52.0,66.42857142857143,47.64,34.63636363636363,51.2,39.291666666666664,46.705882352941174,55.36666666666667,53.333333333333336,76.6
place-bndhl,36.39320388349515,38.2,32.57142857142857,27.866666666666667,40.625,36.10909090909091,34.14746543778802,43.714285714285715,34.88235294117647,39.5,49.42857142857143,45.357142857142854,35.029411764705884,37.025,36.8,40.14414414414414,40.6875,37.38461538461539,73.0,41.785714285714285,31.956521739130434,20.53846153846154,45.833333333333336,32.333333333333336,28.666666666666668,57.708333333333336,45.3,35.2
place-fbkst,22.490291262135923,20.032,21.65909090909091,22.142857142857142,20.75,21.177272727272726,21.05069124423963,21.5,20.235294117647058,21.3,29.153846153846153,17.714285714285715,20.25,21.0,19.333333333333332,21.134529147982065,22.533333333333335,23.363636363636363,20.8,19.46153846153846,21.26086956521739,31.076923076923077,22.166666666666668,22.347826086956523,20.41176470588235,23.375,22.555555555555557,22.166666666666668
